City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Christchurch,NZ,-43.5333,172.6333,55.9,85,100,14.97,overcast clouds
79,Wanganui,NZ,-39.9333,175.05,61.99,84,100,11.99,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,20,2.3,few clouds
81,Hilo,US,19.7297,-155.09,74.93,69,100,6.91,overcast clouds
82,Saskylakh,RU,71.9167,114.0833,-8.91,78,79,4.65,broken clouds
83,Ozinki,RU,51.1786,49.6769,16.86,97,75,10.0,broken clouds
84,Beringovskiy,RU,63.05,179.3167,-23.19,95,8,5.66,clear sky
85,Dingle,PH,10.9995,122.6711,86.11,62,98,13.82,overcast clouds
86,Samarai,PG,-10.6167,150.6667,82.87,67,20,11.63,few clouds
87,Lebu,CL,-37.6167,-73.65,57.51,91,99,3.47,overcast clouds
88,Touros,BR,-5.1989,-35.4608,79.7,82,25,7.2,scattered clouds
89,Karasburg,NA,-28.0167,18.75,73.63,60,98,5.41,overcast clouds
90,Balkanabat,TM,39.5108,54.3671,46.83,53,1,2.33,clear sky
91,Kapaa,US,22.0752,-159.319,78.78,75,40,14.97,scattered clouds
92,Shubarkuduk,KZ,49.1447,56.4872,23.25,96,100,3.78,overcast clouds
93,Ostrovnoy,RU,68.0531,39.5131,15.98,97,96,4.41,overcast clouds
94,Vysokogornyy,RU,50.1167,139.15,19.6,82,100,6.33,overcast clouds
95,Kodiak,US,57.79,-152.4072,36.91,75,100,0.0,overcast clouds
96,Grand-Lahou,CI,5.1367,-5.0242,77.97,90,2,6.91,clear sky
97,Chernyshkovskiy,RU,48.4219,42.2308,28.4,97,20,11.77,few clouds
98,Shimoda,JP,34.6667,138.95,46.76,94,100,10.54,moderate rain
99,Guarumal,PA,8.35,-82.5333,74.91,79,8,5.46,clear sky
100,Punakha,BT,27.5837,89.8598,64.56,22,0,1.79,clear sky
101,Norman Wells,CA,65.282,-126.8329,-16.56,69,75,8.05,light snow
102,Acarau,BR,-2.8856,-40.12,77.2,89,63,8.34,broken clouds
103,Arlit,NE,18.7369,7.3853,60.42,19,0,4.16,clear sky
104,Garden City,US,42.3256,-83.331,21.02,63,100,0.0,overcast clouds
105,Khatanga,RU,71.9667,102.5,-17.19,96,44,5.23,scattered clouds
106,Castro,BR,-24.7911,-50.0119,58.3,97,4,3.11,clear sky
107,Eirunepe,BR,-6.6603,-69.8736,72.63,97,85,2.06,overcast clouds
108,Severo-Kurilsk,RU,50.6789,156.125,25.38,70,90,7.2,overcast clouds
109,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,81,20,8.05,few clouds
110,Hasaki,JP,35.7333,140.8333,43.09,86,100,11.05,light rain
111,Marrakesh,MA,31.6315,-8.0083,50.07,50,29,1.14,scattered clouds
112,Portland,US,45.5234,-122.6762,51.78,46,0,4.0,clear sky
113,Kalmunai,LK,7.4167,81.8167,77.04,88,100,8.28,overcast clouds
114,Bara,NG,10.3744,10.7288,63.88,22,46,6.04,scattered clouds
115,Tiksi,RU,71.6872,128.8694,-5.8,86,100,14.74,overcast clouds
116,Maun,BW,-19.9833,23.4167,68.25,76,80,4.27,broken clouds
117,Kloulklubed,PW,7.0419,134.2556,84.7,76,81,19.08,broken clouds
118,Hovd,MN,48.0056,91.6419,-8.99,88,100,4.12,overcast clouds
119,Kidal,ML,18.4411,1.4078,62.49,15,20,2.66,few clouds
120,Yumen,CN,40.2833,97.2,27.61,42,100,2.59,overcast clouds
121,Araouane,ML,18.9048,-3.5265,58.23,21,79,11.81,broken clouds
122,Jamestown,US,42.097,-79.2353,20.08,79,100,5.75,overcast clouds
123,Henties Bay,NA,-22.116,14.2845,71.85,79,95,1.12,overcast clouds
124,Bozoum,CF,6.3193,16.3799,65.61,23,35,3.53,scattered clouds
125,Manado,ID,1.487,124.8455,79.57,89,40,3.44,light rain
126,Ulaanbaatar,MN,47.9077,106.8832,-9.27,70,41,2.24,smoke
127,Bambanglipuro,ID,-7.95,110.2833,85.64,69,93,4.07,light rain
128,Marktredwitz,DE,50.005,12.0811,29.32,90,100,11.01,overcast clouds
129,Chuy,UY,-33.6971,-53.4616,65.44,90,100,11.14,overcast clouds
130,San Quintin,MX,30.4833,-115.95,64.2,47,85,3.83,overcast clouds
131,Sao Tome,ST,0.3365,6.7273,79.63,79,100,5.84,overcast clouds
132,Quatre Cocos,MU,-20.2078,57.7625,83.08,80,31,12.73,scattered clouds
133,New Norfolk,AU,-42.7826,147.0587,81.9,38,100,3.0,overcast clouds
134,Pangnirtung,CA,66.1451,-65.7125,-23.89,99,100,2.39,overcast clouds
135,Changji,CN,44.0167,87.3167,27.39,68,75,2.24,broken clouds
136,Bradford,GB,53.7939,-1.7521,48.61,61,100,8.03,light rain
137,San Cristobal,VE,7.7669,-72.225,69.98,75,54,1.61,broken clouds
138,Leningradskiy,RU,69.3833,178.4167,-14.8,95,96,4.43,overcast clouds
139,Morondava,MG,-20.2833,44.2833,82.09,80,92,5.73,overcast clouds
140,Kavieng,PG,-2.5744,150.7967,82.63,74,99,5.17,light rain
141,Hithadhoo,MV,-0.6,73.0833,81.57,71,67,10.58,broken clouds
142,Tinaquillo,VE,9.9186,-68.3047,69.19,87,35,5.03,scattered clouds
143,Kumba,CM,4.6363,9.4469,70.88,95,83,2.19,broken clouds
144,Tual,ID,-5.6667,132.75,83.23,68,14,6.49,light rain
145,Semenivka,UA,52.1783,32.5818,20.86,90,45,9.22,scattered clouds
146,Narsaq,GL,60.9167,-46.05,28.62,97,100,2.86,light snow
147,Coos Bay,US,43.3665,-124.2179,50.99,91,0,0.0,clear sky
148,Seoul,KR,37.5683,126.9778,51.31,36,75,3.44,broken clouds
149,Kontagora,NG,10.3999,5.4695,70.65,14,4,6.71,clear sky
150,Bilibino,RU,68.0546,166.4372,-25.85,100,99,1.16,overcast clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,70.52,66,63,5.75,broken clouds
152,Maymyo,MM,22.0333,96.4667,74.35,23,15,0.6,few clouds
153,Delmas,HT,18.5447,-72.3028,77.72,65,0,11.5,clear sky
154,Mitsamiouli,KM,-11.3847,43.2844,80.73,79,99,10.49,light rain
155,Bambous Virieux,MU,-20.3428,57.7575,83.21,83,40,11.5,scattered clouds
156,Ankazoabo,MG,-22.2833,44.5167,78.98,47,38,5.84,scattered clouds
157,Elk City,US,35.412,-99.4043,32.68,47,0,0.0,clear sky
158,Saint George,US,37.1041,-113.5841,58.35,23,0,3.44,clear sky
159,Lianran,CN,24.9227,102.485,50.54,28,3,5.59,clear sky
160,Yerofey Pavlovich,RU,53.9667,121.9667,2.66,61,65,1.81,broken clouds
161,Jever,DE,53.5833,7.9,34.27,75,87,16.28,overcast clouds
162,Hermanus,ZA,-34.4187,19.2345,65.89,80,66,5.61,broken clouds
163,Saint-Philippe,RE,-21.3585,55.7679,80.19,79,18,13.2,light rain
164,Jiuquan,CN,39.7432,98.5174,28.6,45,100,3.98,overcast clouds
165,Grande Prairie,CA,55.1667,-118.8027,42.98,56,75,23.02,broken clouds
166,Tecolutla,MX,20.4833,-97.0167,67.32,90,87,28.95,overcast clouds
167,Kasane,BW,-17.8167,25.15,63.97,95,71,3.98,broken clouds
168,Brae,GB,60.3964,-1.353,44.51,86,78,20.11,broken clouds
169,Beyneu,KZ,45.3167,55.2,41.09,78,100,17.38,overcast clouds
170,Tampakan,PH,6.4442,124.9264,89.29,50,100,1.99,overcast clouds
171,Konstantinovka,RU,49.6167,127.9833,6.76,88,100,9.15,overcast clouds
172,Nuuk,GL,64.1835,-51.7216,14.61,92,100,4.61,overcast clouds
173,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,20.71,scattered clouds
174,Luang Prabang,LA,19.8856,102.1347,76.96,69,40,2.3,scattered clouds
175,Pitimbu,BR,-7.4706,-34.8086,79.39,79,51,6.53,broken clouds
176,Lagoa,PT,39.05,-27.9833,60.69,90,100,15.32,overcast clouds
177,Natal,BR,-5.795,-35.2094,80.82,89,40,5.75,scattered clouds
178,Inhambane,MZ,-23.865,35.3833,77.7,71,89,6.11,overcast clouds
179,Qaanaaq,GL,77.484,-69.3632,-18.87,48,0,8.77,clear sky
180,Okha,RU,53.5739,142.9478,14.32,87,59,6.96,broken clouds
181,Tiznit,MA,29.5833,-9.5,53.37,50,2,3.76,clear sky
182,San Patricio,US,28.017,-97.5169,48.06,55,0,12.91,clear sky
183,Goya,AR,-29.14,-59.2626,60.13,84,38,4.47,scattered clouds
