City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bathsheba,BB,2022-02-12 23:32:41,13.2167,-59.5167,79.41,69,40,12.66
67,Winnipeg,CA,2022-02-12 23:34:54,49.8844,-97.147,-3.98,72,0,10.0
68,Vostok,RU,2022-02-12 23:35:51,46.4856,135.8833,5.29,93,100,2.62
69,Tunapuna,TT,2022-02-12 23:35:51,10.6333,-61.3833,78.82,65,40,5.75
70,Luderitz,NA,2022-02-12 23:35:52,-26.6481,15.1594,73.04,68,6,8.41
71,Hereford,GB,2022-02-12 23:35:52,52.0568,-2.7148,49.82,94,100,1.99
72,Clyde River,CA,2022-02-12 23:35:53,70.4692,-68.5914,-16.37,76,100,31.07
73,Codrington,AU,2022-02-12 23:35:53,-38.2667,141.9667,85.35,27,90,17.78
74,Ngunguru,NZ,2022-02-12 23:35:54,-35.6167,174.5,74.16,66,84,20.76
75,Vila Velha,BR,2022-02-12 23:33:37,-20.3297,-40.2925,75.94,93,75,3.44
76,Esperance,AU,2022-02-12 23:35:54,-33.8667,121.9,64.24,58,83,8.59
77,Faanui,PF,2022-02-12 23:35:55,-16.4833,-151.75,81.48,72,79,12.82
78,Port Blair,IN,2022-02-12 23:35:55,11.6667,92.75,71.64,88,20,2.3
79,Tuktoyaktuk,CA,2022-02-12 23:35:56,69.4541,-133.0374,-27.4,68,20,3.44
80,Kodiak,US,2022-02-12 23:35:56,57.79,-152.4072,42.31,56,0,9.22
81,Marsh Harbour,BS,2022-02-12 23:35:57,26.5412,-77.0636,75.6,81,13,7.07
82,Albany,US,2022-02-12 23:35:57,42.6001,-73.9662,36.12,71,49,8.97
83,Eganville,CA,2022-02-12 23:35:58,45.5334,-77.0994,2.52,84,100,7.65
84,Domanivka,UA,2022-02-12 23:35:58,47.6319,30.9885,30.81,83,41,5.84
85,Jackson,US,2022-02-12 23:34:59,42.4165,-122.8345,72.91,25,0,3.0
86,Biak,ID,2022-02-12 23:35:59,-0.9131,122.8766,74.91,89,100,3.89
87,Great Bend,US,2022-02-12 23:35:34,38.3645,-98.7648,46.92,23,0,17.27
88,Talnakh,RU,2022-02-12 23:36:59,69.4865,88.3972,-9.0,77,17,9.44
89,Northam,GB,2022-02-12 23:37:00,51.0333,-4.2167,50.41,96,100,19.82
90,Herouville-Saint-Clair,FR,2022-02-12 23:37:00,49.2109,-0.3065,41.99,81,0,14.97
91,Kupino,RU,2022-02-12 23:37:01,54.3663,77.2981,10.04,95,94,9.75
92,Kapaa,US,2022-02-12 23:37:01,22.0752,-159.319,79.12,71,75,4.0
93,Port Elizabeth,ZA,2022-02-12 23:37:02,-33.918,25.5701,70.09,94,75,21.85
94,Saskylakh,RU,2022-02-12 23:37:02,71.9167,114.0833,-6.07,77,64,8.5
95,Vazante,BR,2022-02-12 23:37:03,-17.9869,-46.9078,66.6,99,71,3.8
96,Richards Bay,ZA,2022-02-12 23:37:03,-28.783,32.0377,71.85,89,0,9.42
97,Komsomolskiy,UZ,2022-02-12 23:37:04,40.4272,71.7189,38.12,93,100,2.3
98,Bowen,AU,2022-02-12 23:37:04,-20.0167,148.2333,80.82,59,44,17.92
99,Belmonte,BR,2022-02-12 23:37:04,-15.8631,-38.8828,81.1,82,30,6.4
100,Nikolskoye,RU,2022-02-12 23:37:05,59.7035,30.7861,36.72,98,100,10.51
101,Sakakah,SA,2022-02-12 23:37:06,29.9697,40.2064,44.17,42,0,3.4
102,Dunedin,NZ,2022-02-12 23:37:06,-45.8742,170.5036,51.8,86,100,10.0
103,Padang,ID,2022-02-12 23:37:06,-0.9492,100.3543,76.35,79,98,4.32
104,North Bend,US,2022-02-12 23:37:07,43.4065,-124.2243,68.23,70,0,5.75
105,Bairiki,KI,2022-02-12 23:37:07,1.3292,172.9752,86.0,66,20,9.22
106,The Pas,CA,2022-02-12 23:37:08,53.8251,-101.2541,-2.18,60,0,5.75
107,Husavik,IS,2022-02-12 23:37:08,66.0449,-17.3389,21.11,87,87,8.88
108,Dalaba,GN,2022-02-12 23:37:09,10.7,-12.25,64.33,18,3,4.34
109,Yanam,IN,2022-02-12 23:37:09,16.7333,82.2167,69.48,91,80,3.87
110,Coquimbo,CL,2022-02-12 23:37:10,-29.9533,-71.3436,67.73,77,20,10.36
111,Canmore,CA,2022-02-12 23:32:21,51.0834,-115.3521,48.31,31,21,10.36
112,Viedma,AR,2022-02-12 23:37:11,-40.8135,-62.9967,71.96,28,95,6.46
113,Meulaboh,ID,2022-02-12 23:37:11,4.1363,96.1285,76.87,85,97,4.0
114,Antofagasta,CL,2022-02-12 23:37:11,-23.65,-70.4,69.08,80,7,7.2
115,Saint-Philippe,RE,2022-02-12 23:37:12,-21.3585,55.7679,78.35,83,22,10.02
116,Tyulgan,RU,2022-02-12 23:37:12,52.3405,56.166,13.05,100,97,1.88
117,Te Anau,NZ,2022-02-12 23:37:13,-45.4167,167.7167,49.96,79,96,4.56
118,Santa Vitoria Do Palmar,BR,2022-02-12 23:37:14,-33.5189,-53.3681,68.0,95,97,7.47
119,Cherdyn,RU,2022-02-12 23:37:14,60.403,56.4787,15.17,97,100,3.13
120,Fortuna,US,2022-02-12 23:37:15,40.5982,-124.1573,73.42,75,0,3.0
121,Fredonia,US,2022-02-12 23:37:15,42.4401,-79.3317,22.82,76,100,8.05
122,Fairbanks,US,2022-02-12 23:37:16,64.8378,-147.7164,5.81,73,100,0.0
123,Sur,OM,2022-02-12 23:37:16,22.5667,59.5289,68.32,59,0,5.66
124,Cangucu,BR,2022-02-12 23:37:17,-31.395,-52.6756,68.45,96,71,7.02
125,Kieta,PG,2022-02-12 23:37:17,-6.2167,155.6333,85.15,64,78,2.57
126,Sorong,ID,2022-02-12 23:37:17,-0.8833,131.25,77.77,87,100,7.85
127,Makakilo City,US,2022-02-12 23:37:18,21.3469,-158.0858,79.61,48,0,10.36
128,Lagoa,PT,2022-02-12 23:32:43,39.05,-27.9833,60.62,90,100,21.85
129,Klaksvik,FO,2022-02-12 23:37:19,62.2266,-6.589,40.12,96,88,23.6
130,Axim,GH,2022-02-12 23:37:19,4.8699,-2.2405,78.28,88,41,4.79
131,Victoria,HK,2022-02-12 23:37:20,22.2855,114.1577,65.17,90,99,5.01
132,Margate,GB,2022-02-12 23:37:20,51.3813,1.3862,44.89,71,100,7.0
133,Bethel,US,2022-02-12 23:37:21,41.3712,-73.414,50.58,50,0,6.91
134,Gojra,PK,2022-02-12 23:38:21,31.1487,72.6866,49.71,49,0,6.82
135,Maungatapere,NZ,2022-02-12 23:38:22,-35.75,174.2,72.09,61,95,12.39
136,Atar,MR,2022-02-12 23:38:22,20.5169,-13.0499,67.06,24,48,8.14
137,Tekeli,KZ,2022-02-12 23:38:23,44.83,78.8239,16.77,67,100,7.4
138,Linxia,CN,2022-02-12 23:38:23,35.6003,103.2064,9.46,68,3,3.18
139,Egvekinot,RU,2022-02-12 23:38:24,66.3167,-179.1667,-16.33,87,16,6.26
140,Constitucion,CL,2022-02-12 23:38:24,-35.3333,-72.4167,60.89,81,1,6.96
141,Dikson,RU,2022-02-12 23:38:24,73.5069,80.5464,-4.22,89,100,26.33
