City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Guanica,PR,76.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
386,Kattivakkam,IN,84.29,scattered clouds,13.2167,80.3167,Euronova Freezer
392,Maxixe,MZ,77.22,overcast clouds,-23.8597,35.3472,Oceano
398,Kulhudhuffushi,MV,81.7,overcast clouds,6.6221,73.07,Haajy Guest House 1
403,Beloha,MG,78.01,clear sky,-25.1667,45.05,
407,Kudahuvadhoo,MV,80.89,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
414,Poya,NC,84.58,light rain,-21.35,165.15,
417,Tevaitoa,PF,81.93,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
422,San-Pedro,CI,75.72,light rain,4.7485,-6.6363,Hotel Maria
430,Banjar,ID,85.91,light rain,-8.19,114.9675,The Hamsa Resort
431,Cozumel,MX,77.11,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
435,Bundaberg,AU,84.49,broken clouds,-24.85,152.35,Takalvan Motel
438,Kualakapuas,ID,87.96,overcast clouds,-3.0091,114.3876,Guest House Izonk
440,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
443,Muisne,EC,75.49,overcast clouds,0.6,-80.0333,Quinta Samay
447,Kampot,KH,86.05,few clouds,10.6167,104.1833,Two Moons Hotel
448,Matara,LK,79.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
449,Malpe,IN,83.5,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
452,Sampit,ID,85.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
453,Micheweni,TZ,80.83,overcast clouds,-4.9667,39.8333,
454,Hobyo,SO,78.96,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
456,Mayumba,GA,77.76,overcast clouds,-3.432,10.6554,LIKWALE LODGE
458,Vaitape,PF,81.41,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
459,Fare,PF,81.16,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
460,Lorengau,PG,84.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
462,General Nakar,PH,78.58,overcast clouds,14.7631,121.635,WMV Hotel & Restaurant
465,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
475,Alugan,PH,79.63,overcast clouds,12.2188,125.4808,JM Lodge
476,Trincomalee,LK,76.57,moderate rain,8.5711,81.2335,Welcombe Hotel
478,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
483,Sungaipenuh,ID,81.3,overcast clouds,-2.0833,101.3833,penginapan citra alam
485,Port Shepstone,ZA,76.23,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
488,Grand Gaube,MU,83.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
494,Panama City,PA,78.17,broken clouds,8.9936,-79.5197,Riande Urban Hotel
512,Guinabsan,PH,85.77,overcast clouds,8.8975,125.4161,Wilmar Galindo
514,Bubaque,GW,77.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
515,Nacala,MZ,78.01,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
530,Bajil,YE,75.24,overcast clouds,15.0584,43.2851,فندق حضرموت
531,Tabuk,PH,77.38,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
532,Nicoya,CR,78.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
537,Buala,SB,82.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
